
143  1.4489 +/- 0.724452 + 0.228866 - 0.222108  TF = 0.362226, Ngobs = 4
144  0.324915 +/- 0.324915 + 0.0713925 - 0.070311  TF = 0.324915, Ngobs = 1
145  1.84222 +/- 0.823865 + 0.280334 - 0.271405  TF = 0.368444, Ngobs = 5
146  1.34149 +/- 0.670743 + 0.21955 - 0.213517  TF = 0.335371, Ngobs = 4
147  0.302362 +/- 0.302362 + 0.0721069 - 0.0711807  TF = 0.302362, Ngobs = 0
148  0.253513 +/- 0.253513 + 0.051102 - 0.0501808  TF = 0.253513, Ngobs = 1
149  0.343837 +/- 0.343837 + 0.0760596 - 0.0749229  TF = 0.343837, Ngobs = 0
150  0.366608 +/- 0.366608 + 0.103113 - 0.103716  TF = 0.366608, Ngobs = 0
151  1.39008 +/- 0.695039 + 1.41096 - 1.40996  TF = 0.34752, Ngobs = 4
152  0.311724 +/- 0.311724 + 0.319967 - 0.319747  TF = 0.311724, Ngobs = 1
153  1.76742 +/- 0.790416 + 1.79241 - 1.79114  TF = 0.353485, Ngobs = 5
154  1.28702 +/- 0.643511 + 1.30751 - 1.30659  TF = 0.321755, Ngobs = 4
155  0.290086 +/- 0.290086 + 0.298969 - 0.298765  TF = 0.290086, Ngobs = 0
156  0.243221 +/- 0.243221 + 0.248745 - 0.248572  TF = 0.243221, Ngobs = 1
157  0.329877 +/- 0.329877 + 0.338706 - 0.338473  TF = 0.329877, Ngobs = 0
158  0.351724 +/- 0.351724 + 0.366269 - 0.366426  TF = 0.351724, Ngobs = 0
159  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 4
160  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 1
161  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 5
162  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 4
163  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
164  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 1
165  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
166  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
167  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 4
168  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 1
169  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 5
170  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 4
171  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
172  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 1
173  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
174  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
