
145  0.743236 +/- 0.525547 + 0.113012 - 0.109407  TF = 0.371618, Ngobs = 2
146  1.35696 +/- 0.678478 + 0.221287 - 0.215163  TF = 0.339239, Ngobs = 4
147  0.299863 +/- 0.299863 + 0.0713037 - 0.0703824  TF = 0.299863, Ngobs = 0
148  0.539042 +/- 0.38116 + 0.107181 - 0.105195  TF = 0.269521, Ngobs = 2
149  0.334358 +/- 0.334358 + 0.0731821 - 0.0720647  TF = 0.334358, Ngobs = 0
150  0.376766 +/- 0.376766 + 0.103983 - 0.104613  TF = 0.376766, Ngobs = 0
151  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 1
152  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
153  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 2
154  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 4
155  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
156  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 2
157  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
158  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
159  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 1
160  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
161  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 2
162  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 4
163  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
164  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 2
165  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
166  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
167  0.159049 +/- 0.159049 + 0.199091 - 0.198998  TF = 0.159049, Ngobs = 1
168  0.151196 +/- 0.151196 + 0.190658 - 0.190571  TF = 0.151196, Ngobs = 0
169  0.322267 +/- 0.227877 + 0.403176 - 0.402989  TF = 0.161134, Ngobs = 2
170  0.588376 +/- 0.294188 + 0.736911 - 0.73657  TF = 0.147094, Ngobs = 4
171  0.130021 +/- 0.130021 + 0.164391 - 0.164317  TF = 0.130021, Ngobs = 0
172  0.233729 +/- 0.165271 + 0.293938 - 0.293803  TF = 0.116864, Ngobs = 2
173  0.144977 +/- 0.144977 + 0.182806 - 0.182723  TF = 0.144977, Ngobs = 0
174  0.163366 +/- 0.163366 + 0.207815 - 0.207875  TF = 0.163366, Ngobs = 0
