
124  5.06863 +/- 1.40579 + 2.21354 - 2.20892  TF = 0.389895, Ngobs = 13
125  1.58405 +/- 0.70841 + 0.706274 - 0.704861  TF = 0.31681, Ngobs = 5
126  0.183264 +/- 0.183264 + 0.0874052 - 0.0877091  TF = 0.183264, Ngobs = 1
127  12.9737 +/- 1.59695 + 6.67923 - 6.66921  TF = 0.196572, Ngobs = 66
128  4.91197 +/- 1.04724 + 2.63702 - 2.63338  TF = 0.223271, Ngobs = 22
129  24.9318 +/- 2.33507 + 12.7938 - 12.7745  TF = 0.2187, Ngobs = 114
130  8.1479 +/- 1.30471 + 4.20867 - 4.2024  TF = 0.20892, Ngobs = 39
131  1.72769 +/- 0.479175 + 0.941049 - 0.939789  TF = 0.132899, Ngobs = 13
132  2.18918 +/- 0.60717 + 1.15825 - 1.1566  TF = 0.168399, Ngobs = 13
133  1.61689 +/- 0.723096 + 0.867716 - 0.866519  TF = 0.323378, Ngobs = 5
134  0.519922 +/- 0.519922 + 0.29258 - 0.293311  TF = 0.519922, Ngobs = 1
135  1.87299 +/- 0.23055 + 2.04287 - 2.04218  TF = 0.0283787, Ngobs = 66
136  0.49042 +/- 0.104558 + 0.540082 - 0.539905  TF = 0.0222918, Ngobs = 22
137  3.0809 +/- 0.288553 + 3.3579 - 3.35677  TF = 0.0270255, Ngobs = 114
138  0.922664 +/- 0.147744 + 1.00709 - 1.00675  TF = 0.0236581, Ngobs = 39
139  0.317622 +/- 0.0880925 + 0.351005 - 0.350891  TF = 0.0244325, Ngobs = 13
140  0.247902 +/- 0.0687557 + 0.272071 - 0.271981  TF = 0.0190694, Ngobs = 13
141  0.0584378 +/- 0.0261342 + 0.0643498 - 0.0643287  TF = 0.0116876, Ngobs = 5
142  0.0276538 +/- 0.0276538 + 0.0308094 - 0.030829  TF = 0.0276538, Ngobs = 1
143  2.31774 +/- 0.946213 + 0.352402 - 0.34105  TF = 0.38629, Ngobs = 6
144  1.4116 +/- 0.705801 + 0.303657 - 0.29881  TF = 0.3529, Ngobs = 4
145  1.1749 +/- 0.67833 + 0.171887 - 0.165898  TF = 0.391634, Ngobs = 3
146  1.75955 +/- 0.786892 + 0.277828 - 0.269539  TF = 0.351909, Ngobs = 5
147  0.314783 +/- 0.314783 + 0.0738529 - 0.0728631  TF = 0.314783, Ngobs = 0
