    90 NJets2-BTags0-MHT3-HT9      5      1.70    0.82  0.0418    0.14    -      -     1.238    -     1.382   -       -      -       -      -      -      -       -      -      -     1.560    1.527   0.0418  0.0372 ,     0.14   0.16   
    91 NJets2-BTags1-MHT0-HT0      1      0.10    0.50  0.0000    0.00   1.731   -      -       -     1.382   -      1.770   -       -      -      -      -       -      -      -      -        -      0.0000  0.0000 ,     0.00   0.00   
    92 NJets2-BTags1-MHT0-HT1     43     29.30    3.08  0.1389    1.90    -     1.345   -       -     1.382   -       -      -      1.580   -      -      -       -      -      -      -        -      0.1389  0.1077 ,     1.90   1.79   
    93 NJets2-BTags1-MHT0-HT2    148     33.10    4.51  0.0570    6.54    -      -     1.238    -     1.382   -       -      -       -      -      -      -      1.150   -      -      -       1.008   0.0570  0.0270 ,     6.54   3.19   
    94 NJets2-BTags1-MHT1-HT3      0      0.20    1.02  0.0000   -0.00   1.731   -      -       -     1.382   -       -     2.000    -      -      -      -       -      -      -      -        -      0.0000  0.0000 ,    -0.00   0.00   
    95 NJets2-BTags1-MHT1-HT4     41     19.70    2.44  0.2056    4.38    -     1.345   -       -     1.382   -       -      -       -     1.700   -      -       -      -      -      -       1.473   0.2056  0.2033 ,     4.38   4.55   
    96 NJets2-BTags1-MHT1-HT5    109     33.20    3.41  0.0401    3.04    -      -     1.238    -     1.382   -       -      -       -      -      -      -       -     1.210   -      -        -      0.0401  0.0199 ,     3.04   1.57   
    97 NJets2-BTags1-MHT2-HT6      2      1.40    0.69  0.2181    0.13    -     1.345   -       -     1.382   -       -      -       -      -     2.110   -       -      -      -      -        -      0.2181  0.2668 ,     0.13   0.38   
    98 NJets2-BTags1-MHT2-HT7     22      8.80    1.82  0.0350    0.46    -      -     1.238    -     1.382   -       -      -       -      -      -      -       -      -     1.570   -        -      0.0350  0.0254 ,     0.46   0.38   
    99 NJets2-BTags1-MHT3-HT8      1      0.10    0.52  0.2222    0.20    -     1.345   -       -     1.382   -       -      -       -      -      -     1.880    -      -      -      -        -      0.2222  0.2265 ,     0.20   0.32   
   100 NJets2-BTags1-MHT3-HT9      2      1.10    0.77  0.0198    0.02    -      -     1.238    -     1.382   -       -      -       -      -      -      -       -      -      -     1.560     -      0.0198  0.0142 ,     0.02   0.03   
   101 NJets2-BTags2-MHT0-HT0      0      0.00    0.50  0.0000    0.00   1.731   -      -       -     1.382   -      1.770   -       -      -      -      -       -      -      -      -        -      0.0000  0.0000 ,     0.00   0.00   
   102 NJets2-BTags2-MHT0-HT1     23     19.20    2.25  0.1389    0.53    -     1.345   -       -     1.382   -       -      -      1.580   -      -      -       -      -      -      -        -      0.1389  0.1077 ,     0.53   0.84   
   103 NJets2-BTags2-MHT0-HT2     65     19.60    2.80  0.0565    2.57    -      -     1.238    -     1.382   -       -      -       -      -      -      -      1.150   -      -      -        -      0.0565  0.0268 ,     2.57   1.31   
   104 NJets2-BTags2-MHT1-HT3      0      0.10    1.00  0.0000   -0.00   1.731   -      -       -     1.382   -       -     2.000    -      -      -      -       -      -      -      -        -      0.0000  0.0000 ,    -0.00   0.00   
   105 NJets2-BTags2-MHT1-HT4     22     12.20    2.46  0.1083    1.06    -     1.345   -       -     1.382   -       -      -       -     1.700   -      -       -      -      -      -        -      0.1083  0.0941 ,     1.06   1.09   
   106 NJets2-BTags2-MHT1-HT5     46     22.00    2.75  0.0401    0.96    -      -     1.238    -     1.382   -       -      -       -      -      -      -       -     1.210   -      -        -      0.0401  0.0199 ,     0.96   0.56   
   107 NJets2-BTags2-MHT2-HT6      0      0.90    0.59  0.2181   -0.20    -     1.345   -       -     1.382   -       -      -       -      -     2.110   -       -      -      -      -        -      0.2181  0.2668 ,    -0.20   0.00   
   108 NJets2-BTags2-MHT2-HT7     11      5.20    1.25  0.0353    0.20    -      -     1.238    -     1.382   -       -      -       -      -      -      -       -      -     1.570   -       1.006   0.0353  0.0256 ,     0.20   0.19   
   109 NJets2-BTags2-MHT3-HT8      1      0.30    0.51  0.2222    0.16    -     1.345   -       -     1.382   -       -      -       -      -      -     1.880    -      -      -      -        -      0.2222  0.2265 ,     0.16   0.30   
