
107  0.875814 +/- 0.0783352 + 0.445691 - 0.444458  TF = 0.00700651, Ngobs = 125
108  0.329868 +/- 0.0508998 + 0.16891 - 0.168449  TF = 0.007854, Ngobs = 42
109  0.19195 +/- 0.0344752 + 0.0984516 - 0.0981835  TF = 0.00619194, Ngobs = 31
110  0.0633683 +/- 0.0224041 + 0.0343833 - 0.0342996  TF = 0.00792104, Ngobs = 8
111  19.609 +/- 2.77313 + 3.07319 - 2.85328  TF = 0.39218, Ngobs = 50
112  6.04714 +/- 1.46665 + 1.29659 - 1.24788  TF = 0.355714, Ngobs = 17
113  37.6708 +/- 3.94897 + 5.70369 - 5.26518  TF = 0.413965, Ngobs = 91
114  14.1902 +/- 2.33285 + 2.27796 - 2.12288  TF = 0.383518, Ngobs = 37
115  2.91204 +/- 1.02956 + 0.686413 - 0.665147  TF = 0.364006, Ngobs = 8
116  1.07522 +/- 0.620776 + 0.207039 - 0.197349  TF = 0.358405, Ngobs = 3
117  1.1084 +/- 0.639934 + 0.232483 - 0.223348  TF = 0.369466, Ngobs = 3
118  0.491429 +/- 0.491429 + 0.115482 - 0.114424  TF = 0.491429, Ngobs = 0
119  5.40621 +/- 0.764553 + 2.6384 - 2.61956  TF = 0.108124, Ngobs = 50
120  1.48216 +/- 0.359475 + 0.755151 - 0.750205  TF = 0.0871856, Ngobs = 17
121  9.7379 +/- 1.02081 + 4.73603 - 4.70198  TF = 0.10701, Ngobs = 91
122  3.1488 +/- 0.517659 + 1.5406 - 1.52966  TF = 0.0851026, Ngobs = 37
123  0.93331 +/- 0.329975 + 0.48422 - 0.481161  TF = 0.116664, Ngobs = 8
124  0.344606 +/- 0.198959 + 0.172541 - 0.17137  TF = 0.114869, Ngobs = 3
125  0.355241 +/- 0.205099 + 0.180302 - 0.179112  TF = 0.118414, Ngobs = 3
126  0.11814 +/- 0.11814 + 0.0612545 - 0.0611395  TF = 0.11814, Ngobs = 0
127  1.29027 +/- 0.182472 + 0.981456 - 0.978577  TF = 0.0258055, Ngobs = 50
128  0.457164 +/- 0.110879 + 0.354121 - 0.353119  TF = 0.026892, Ngobs = 17
129  2.68593 +/- 0.281562 + 2.04018 - 2.03417  TF = 0.0295157, Ngobs = 91
