
117  1.12508 +/- 0.649564 + 0.205247 - 0.202783  TF = 0.375026, Ngobs = 3
118  0.49559 +/- 0.49559 + 0.104555 - 0.106403  TF = 0.49559, Ngobs = 0
119  5.50147 +/- 0.778025 + 2.72343 - 2.71901  TF = 0.110029, Ngobs = 50
120  1.51961 +/- 0.36856 + 0.784439 - 0.783269  TF = 0.089389, Ngobs = 17
121  9.89751 +/- 1.03754 + 4.88323 - 4.87526  TF = 0.108764, Ngobs = 91
122  3.2256 +/- 0.530285 + 1.60072 - 1.59814  TF = 0.0871783, Ngobs = 37
123  0.946179 +/- 0.334525 + 0.497136 - 0.496421  TF = 0.118272, Ngobs = 8
124  0.35044 +/- 0.202327 + 0.177855 - 0.177581  TF = 0.116813, Ngobs = 3
125  0.360587 +/- 0.208185 + 0.185446 - 0.185167  TF = 0.120196, Ngobs = 3
126  0.11914 +/- 0.11914 + 0.0625592 - 0.062739  TF = 0.11914, Ngobs = 0
127  1.31301 +/- 0.185688 + 1.00029 - 0.999606  TF = 0.0262602, Ngobs = 50
128  0.468718 +/- 0.113681 + 0.363611 - 0.363371  TF = 0.0275717, Ngobs = 17
129  2.72995 +/- 0.286177 + 2.07683 - 2.0754  TF = 0.0299995, Ngobs = 91
130  1.20651 +/- 0.198349 + 0.920113 - 0.919484  TF = 0.0326084, Ngobs = 37
131  0.151743 +/- 0.0536492 + 0.11865 - 0.118572  TF = 0.0189679, Ngobs = 8
132  0.0562016 +/- 0.032448 + 0.0432753 - 0.0432463  TF = 0.0187339, Ngobs = 3
133  0.057829 +/- 0.0333876 + 0.0447873 - 0.0447577  TF = 0.0192763, Ngobs = 3
134  0.03821 +/- 0.03821 + 0.0298685 - 0.0299073  TF = 0.03821, Ngobs = 0
135  2.64398 +/- 0.373915 + 1.83414 - 1.83262  TF = 0.0528795, Ngobs = 50
136  0.730977 +/- 0.177288 + 0.518239 - 0.517829  TF = 0.0429986, Ngobs = 17
137  4.75923 +/- 0.498903 + 3.29587 - 3.29314  TF = 0.0522992, Ngobs = 91
138  1.55102 +/- 0.254986 + 1.0773 - 1.07641  TF = 0.0419195, Ngobs = 37
139  0.454933 +/- 0.160843 + 0.325595 - 0.325342  TF = 0.0568667, Ngobs = 8
140  0.168495 +/- 0.0972809 + 0.118396 - 0.118301  TF = 0.0561652, Ngobs = 3
141  0.173374 +/- 0.100098 + 0.122675 - 0.122577  TF = 0.0577915, Ngobs = 3
142  0.0572902 +/- 0.0572902 + 0.0409888 - 0.0410523  TF = 0.0572902, Ngobs = 0
143  0.418334 +/- 0.418334 + 0.0642178 - 0.0621889  TF = 0.418334, Ngobs = 0
144  0.383899 +/- 0.383899 + 0.0814009 - 0.0800633  TF = 0.383899, Ngobs = 0
145  1.26093 +/- 0.727997 + 0.184001 - 0.177556  TF = 0.420309, Ngobs = 3
146  1.18598 +/- 0.684727 + 0.184424 - 0.178748  TF = 0.395328, Ngobs = 3
147  0.372056 +/- 0.372056 + 0.0865065 - 0.0853259  TF = 0.372056, Ngobs = 1
148  0.728944 +/- 0.515441 + 0.137233 - 0.134366  TF = 0.364472, Ngobs = 2
149  0.3819 +/- 0.3819 + 0.0789991 - 0.0776346  TF = 0.3819, Ngobs = 0
150  0.49559 +/- 0.49559 + 0.114723 - 0.1157  TF = 0.49559, Ngobs = 0
151  0.201219 +/- 0.201219 + 0.250222 - 0.250103  TF = 0.201219, Ngobs = 0
152  0.184656 +/- 0.184656 + 0.231208 - 0.2311  TF = 0.184656, Ngobs = 0
153  0.606506 +/- 0.350167 + 0.753655 - 0.753297  TF = 0.202169, Ngobs = 3
154  0.570458 +/- 0.329354 + 0.709522 - 0.709186  TF = 0.190153, Ngobs = 3
155  0.178959 +/- 0.178959 + 0.224724 - 0.22462  TF = 0.178959, Ngobs = 1
156  0.350622 +/- 0.247927 + 0.43768 - 0.437475  TF = 0.175311, Ngobs = 2
157  0.183694 +/- 0.183694 + 0.229844 - 0.229737  TF = 0.183694, Ngobs = 0
158  0.238379 +/- 0.238379 + 0.299295 - 0.299382  TF = 0.238379, Ngobs = 0
159  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
160  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
161  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 3
162  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 3
163  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 1
164  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 2
165  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
166  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
167  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
168  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
169  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 3
170  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 3
171  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 1
172  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 2
173  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
174  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
