
87  5.87845 +/- 0.616229 + 1.46139 - 1.45727  TF = 0.0645984, Ngobs = 91
88  1.55517 +/- 0.304995 + 0.401786 - 0.400737  TF = 0.0598144, Ngobs = 26
89  1.14473 +/- 0.286183 + 0.307826 - 0.306216  TF = 0.0715458, Ngobs = 16
90  0.265153 +/- 0.132577 + 0.0922288 - 0.0919409  TF = 0.0662883, Ngobs = 4
91  13.5502 +/- 0.680063 + 4.15353 - 4.14583  TF = 0.0341314, Ngobs = 397
92  12.6653 +/- 0.611486 + 3.86129 - 3.85405  TF = 0.0295228, Ngobs = 429
93  1.65052 +/- 0.238233 + 0.512886 - 0.511961  TF = 0.0343859, Ngobs = 48
94  9.90874 +/- 0.585916 + 3.02142 - 3.01576  TF = 0.0346459, Ngobs = 286
95  23.0263 +/- 0.831974 + 6.97685 - 6.96362  TF = 0.0300604, Ngobs = 766
96  3.14426 +/- 0.311329 + 0.961107 - 0.959315  TF = 0.0308261, Ngobs = 102
97  2.51387 +/- 0.263525 + 0.7686 - 0.767168  TF = 0.0276249, Ngobs = 91
98  0.698445 +/- 0.136976 + 0.21912 - 0.218732  TF = 0.0268633, Ngobs = 26
99  0.510029 +/- 0.127507 + 0.164469 - 0.163872  TF = 0.0318768, Ngobs = 16
100  0.105655 +/- 0.0528277 + 0.0412819 - 0.0411798  TF = 0.0264139, Ngobs = 4
101  1.51774 +/- 0.0761734 + 1.18143 - 1.18109  TF = 0.00382303, Ngobs = 397
102  1.57438 +/- 0.0760116 + 1.22449 - 1.22414  TF = 0.00366988, Ngobs = 429
103  0.221845 +/- 0.0320205 + 0.173057 - 0.173008  TF = 0.00462176, Ngobs = 48
104  1.05957 +/- 0.0626537 + 0.824117 - 0.82388  TF = 0.00370479, Ngobs = 286
105  2.79107 +/- 0.100845 + 2.16874 - 2.16811  TF = 0.00364369, Ngobs = 766
106  0.403376 +/- 0.0399402 + 0.313857 - 0.313767  TF = 0.00395467, Ngobs = 102
107  0.270815 +/- 0.0283891 + 0.210723 - 0.210662  TF = 0.00297599, Ngobs = 91
108  0.0891305 +/- 0.0174799 + 0.0696355 - 0.0696157  TF = 0.0034281, Ngobs = 26
109  0.0634703 +/- 0.0158676 + 0.0498133 - 0.0497828  TF = 0.00396689, Ngobs = 16
110  0.00825222 +/- 0.00412611 + 0.00672762 - 0.0067238  TF = 0.00206306, Ngobs = 4
111  12.1268 +/- 2.04981 + 1.43625 - 1.39499  TF = 0.346481, Ngobs = 35
112  3.80324 +/- 1.0979 + 0.732003 - 0.72411  TF = 0.316937, Ngobs = 12
113  24.3547 +/- 2.95344 + 2.70191 - 2.61325  TF = 0.358158, Ngobs = 68
114  4.5984 +/- 1.22897 + 0.577822 - 0.563098  TF = 0.328457, Ngobs = 14
115  2.82627 +/- 0.893745 + 0.603129 - 0.597844  TF = 0.282627, Ngobs = 10
116  2.10394 +/- 0.743854 + 0.356826 - 0.351863  TF = 0.262992, Ngobs = 8
117  0.632764 +/- 0.447432 + 0.121609 - 0.120294  TF = 0.316382, Ngobs = 2
118  1.42586 +/- 0.712931 + 0.364084 - 0.368477  TF = 0.356466, Ngobs = 4
119  5.34309 +/- 0.903147 + 2.82967 - 2.82566  TF = 0.15266, Ngobs = 35
120  1.69739 +/- 0.489993 + 0.935085 - 0.933861  TF = 0.141449, Ngobs = 12
121  10.6625 +/- 1.29302 + 5.62947 - 5.62144  TF = 0.156801, Ngobs = 68
122  2.09411 +/- 0.559675 + 1.11251 - 1.11094  TF = 0.149579, Ngobs = 14
123  1.25628 +/- 0.39727 + 0.7017 - 0.700806  TF = 0.125628, Ngobs = 10
124  0.915212 +/- 0.323576 + 0.497262 - 0.496593  TF = 0.114402, Ngobs = 8
125  0.288161 +/- 0.20376 + 0.158719 - 0.158511  TF = 0.14408, Ngobs = 2
126  0.629946 +/- 0.314973 + 0.362777 - 0.363641  TF = 0.157487, Ngobs = 4
127  0.962872 +/- 0.162755 + 1.01696 - 1.01659  TF = 0.0275106, Ngobs = 35
128  0.260902 +/- 0.075316 + 0.278385 - 0.278288  TF = 0.0217419, Ngobs = 12
129  2.06285 +/- 0.250157 + 2.17703 - 2.17626  TF = 0.030336, Ngobs = 68
130  0.236358 +/- 0.0631693 + 0.249831 - 0.249742  TF = 0.0168827, Ngobs = 14
131  0.203492 +/- 0.0643497 + 0.217936 - 0.217861  TF = 0.0203492, Ngobs = 10
132  0.189354 +/- 0.0669468 + 0.201307 - 0.201236  TF = 0.0236693, Ngobs = 8
133  0.0325241 +/- 0.022998 + 0.0347018 - 0.0346897  TF = 0.016262, Ngobs = 2
134  0.110077 +/- 0.0550383 + 0.118896 - 0.118977  TF = 0.0275191, Ngobs = 4
135  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 35
136  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 12
137  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 68
138  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 14
139  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 10
140  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 8
141  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 2
142  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 4
143  0.35132 +/- 0.35132 + 0.0534926 - 0.0517743  TF = 0.35132, Ngobs = 1
144  0.341159 +/- 0.341159 + 0.0735113 - 0.0723418  TF = 0.341159, Ngobs = 0
145  0.718594 +/- 0.508123 + 0.105108 - 0.101445  TF = 0.359297, Ngobs = 2
146  1.31244 +/- 0.656218 + 0.206952 - 0.200761  TF = 0.328109, Ngobs = 4
147  0.292878 +/- 0.292878 + 0.0686089 - 0.0676866  TF = 0.292878, Ngobs = 0
148  0.525984 +/- 0.371927 + 0.10232 - 0.100319  TF = 0.262992, Ngobs = 2
149  0.326504 +/- 0.326504 + 0.0702093 - 0.0690877  TF = 0.326504, Ngobs = 0
150  0.36787 +/- 0.36787 + 0.100411 - 0.101024  TF = 0.36787, Ngobs = 0
151  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 1
152  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
153  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 2
154  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 4
155  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
